State,District,Year,Crime_Category,Crime_Category_Code,Total_Cases
Karnataka,Bagalkot,2021,Crime_Against_Children,Children,124
Karnataka,Ballari,2021,Crime_Against_Children,Children,230
Karnataka,Belagavi,2021,Crime_Against_Children,Children,316
Karnataka,Bengaluru Rural,2021,Crime_Against_Children,Children,298
Karnataka,Bengaluru Urban,2021,Crime_Against_Children,Children,1342
Karnataka,Bidar,2021,Crime_Against_Children,Children,129
Karnataka,Chamarajanagara,2021,Crime_Against_Children,Children,94
Karnataka,Chikkaballapura,2021,Crime_Against_Children,Children,310
Karnataka,Chikkamagaluru,2021,Crime_Against_Children,Children,219
Karnataka,Chitradurga,2021,Crime_Against_Children,Children,201
Karnataka,Dakshina Kannada,2021,Crime_Against_Children,Children,306
Karnataka,Davanagere,2021,Crime_Against_Children,Children,203
Karnataka,Dharwad,2021,Crime_Against_Children,Children,129
Karnataka,Gadag,2021,Crime_Against_Children,Children,58
Karnataka,Hassan,2021,Crime_Against_Children,Children,252
Karnataka,Haveri,2021,Crime_Against_Children,Children,209
Karnataka,Kalaburagi,2021,Crime_Against_Children,Children,193
Karnataka,Kodagu,2021,Crime_Against_Children,Children,106
Karnataka,Kolar,2021,Crime_Against_Children,Children,157
Karnataka,Koppal,2021,Crime_Against_Children,Children,79
Karnataka,Mandya,2021,Crime_Against_Children,Children,293
Karnataka,Mysuru,2021,Crime_Against_Children,Children,435
Karnataka,Raichur,2021,Crime_Against_Children,Children,123
Karnataka,Ramanagara,2021,Crime_Against_Children,Children,256
Karnataka,Shivamogga,2021,Crime_Against_Children,Children,256
Karnataka,Tumakuru,2021,Crime_Against_Children,Children,499
Karnataka,Udupi,2021,Crime_Against_Children,Children,96
Karnataka,Uttara Kannada,2021,Crime_Against_Children,Children,118
Karnataka,Vijayapura,2021,Crime_Against_Children,Children,136
Karnataka,Yadgir,2021,Crime_Against_Children,Children,89
Karnataka,Bagalkot,2022,Crime_Against_Children,Children,123
Karnataka,Ballari,2022,Crime_Against_Children,Children,102
Karnataka,Belagavi,2022,Crime_Against_Children,Children,378
Karnataka,Bengaluru Rural,2022,Crime_Against_Children,Children,376
Karnataka,Bengaluru Urban,2022,Crime_Against_Children,Children,1578
Karnataka,Bidar,2022,Crime_Against_Children,Children,144
Karnataka,Chamarajanagara,2022,Crime_Against_Children,Children,116
Karnataka,Chikkaballapura,2022,Crime_Against_Children,Children,248
Karnataka,Chikkamagaluru,2022,Crime_Against_Children,Children,219
Karnataka,Chitradurga,2022,Crime_Against_Children,Children,210
Karnataka,Dakshina Kannada,2022,Crime_Against_Children,Children,310
Karnataka,Davanagere,2022,Crime_Against_Children,Children,239
Karnataka,Dharwad,2022,Crime_Against_Children,Children,165
Karnataka,Gadag,2022,Crime_Against_Children,Children,72
Karnataka,Hassan,2022,Crime_Against_Children,Children,257
Karnataka,Haveri,2022,Crime_Against_Children,Children,146
Karnataka,Kalaburagi,2022,Crime_Against_Children,Children,221
Karnataka,Kodagu,2022,Crime_Against_Children,Children,129
Karnataka,Kolar,2022,Crime_Against_Children,Children,208
Karnataka,Koppal,2022,Crime_Against_Children,Children,152
Karnataka,Mandya,2022,Crime_Against_Children,Children,275
Karnataka,Mysuru,2022,Crime_Against_Children,Children,442
Karnataka,Raichur,2022,Crime_Against_Children,Children,141
Karnataka,Ramanagara,2022,Crime_Against_Children,Children,239
Karnataka,Shivamogga,2022,Crime_Against_Children,Children,355
Karnataka,Tumakuru,2022,Crime_Against_Children,Children,473
Karnataka,Udupi,2022,Crime_Against_Children,Children,110
Karnataka,Uttara Kannada,2022,Crime_Against_Children,Children,206
Karnataka,Vijayanagara,2022,Crime_Against_Children,Children,101
Karnataka,Vijayapura,2022,Crime_Against_Children,Children,156
Karnataka,Yadgir,2022,Crime_Against_Children,Children,85
Karnataka,Bagalkot,2023,Crime_Against_Children,Children,133
Karnataka,Ballari,2023,Crime_Against_Children,Children,153
Karnataka,Belagavi,2023,Crime_Against_Children,Children,352
Karnataka,Bengaluru Rural,2023,Crime_Against_Children,Children,409
Karnataka,Bengaluru Urban,2023,Crime_Against_Children,Children,1982
Karnataka,Bidar,2023,Crime_Against_Children,Children,120
Karnataka,Chamarajanagara,2023,Crime_Against_Children,Children,142
Karnataka,Chikkaballapura,2023,Crime_Against_Children,Children,314
Karnataka,Chikkamagaluru,2023,Crime_Against_Children,Children,201
Karnataka,Chitradurga,2023,Crime_Against_Children,Children,255
Karnataka,Dakshina Kannada,2023,Crime_Against_Children,Children,357
Karnataka,Davanagere,2023,Crime_Against_Children,Children,229
Karnataka,Dharwad,2023,Crime_Against_Children,Children,206
Karnataka,Gadag,2023,Crime_Against_Children,Children,96
Karnataka,Hassan,2023,Crime_Against_Children,Children,274
Karnataka,Haveri,2023,Crime_Against_Children,Children,156
Karnataka,Kalaburagi,2023,Crime_Against_Children,Children,260
Karnataka,Kodagu,2023,Crime_Against_Children,Children,116
Karnataka,Kolar,2023,Crime_Against_Children,Children,321
Karnataka,Koppal,2023,Crime_Against_Children,Children,134
Karnataka,Mandya,2023,Crime_Against_Children,Children,270
Karnataka,Mysuru,2023,Crime_Against_Children,Children,389
Karnataka,Raichur,2023,Crime_Against_Children,Children,143
Karnataka,Ramanagara,2023,Crime_Against_Children,Children,262
Karnataka,Shivamogga,2023,Crime_Against_Children,Children,367
Karnataka,Tumakuru,2023,Crime_Against_Children,Children,574
Karnataka,Udupi,2023,Crime_Against_Children,Children,105
Karnataka,Uttara Kannada,2023,Crime_Against_Children,Children,165
Karnataka,Vijayanagara,2023,Crime_Against_Children,Children,190
Karnataka,Vijayapura,2023,Crime_Against_Children,Children,168
Karnataka,Yadgir,2023,Crime_Against_Children,Children,76
Karnataka,Bagalkot,2024,Crime_Against_Children,Children,0
Karnataka,Ballari,2024,Crime_Against_Children,Children,0
Karnataka,Belagavi,2024,Crime_Against_Children,Children,0
Karnataka,Bengaluru Rural,2024,Crime_Against_Children,Children,0
Karnataka,Bengaluru Urban,2024,Crime_Against_Children,Children,0
Karnataka,Bidar,2024,Crime_Against_Children,Children,0
Karnataka,Chamarajanagara,2024,Crime_Against_Children,Children,0
Karnataka,Chikkaballapura,2024,Crime_Against_Children,Children,0
Karnataka,Chikkamagaluru,2024,Crime_Against_Children,Children,0
Karnataka,Chitradurga,2024,Crime_Against_Children,Children,0
Karnataka,Dakshina Kannada,2024,Crime_Against_Children,Children,1
Karnataka,Davanagere,2024,Crime_Against_Children,Children,0
Karnataka,Dharwad,2024,Crime_Against_Children,Children,1
Karnataka,Gadag,2024,Crime_Against_Children,Children,1
Karnataka,Hassan,2024,Crime_Against_Children,Children,0
