Station_ID,Station_Name,PS_Code,Department_Code,Type,Longitude,Latitude
1.0,Cowlbazar PS,PS - 01,164450334,Police Station - Karnataka,76.9029290003413,15.1377060002966
2.0,Bruceept PS,PS - 02,164450333,Police Station - Karnataka,76.926339999684,15.1381910002788
3.0,Gandhinagar PS,PS - 03,164450335,Police Station - Karnataka,76.9310599996091,15.1453570003326
4.0,Moka PS,PS - 04,164450342,Police Station - Karnataka,77.0592210003737,15.2415620004472
5.0,P.D. Halli PS,PS - 05,164450339,Police Station - Karnataka,77.0521400001877,15.1431280002221
6.0,Siruguppa PS,PS - 06,164450347,Police Station - Karnataka,76.8997300001426,15.6383359999
7.0,Hatcholli PS,PS - 07,164450348,Police Station - Karnataka,76.9873140001969,15.7909469995702
8.0,Tekkalkota PS,PS - 08,164450344,Police Station - Karnataka,76.8809819995407,15.5376800002708
9.0,Sirigeri PS,PS - 09,164450346,Police Station - Karnataka,76.8388910003465,15.4412980001563
10.0,Kurugodu PS,PS - 10,164450343,Police Station - Karnataka,76.8353150001382,15.3442250003186
11.0,Kuduthini PS,PS - 11,164451893,Police Station - Karnataka,76.7624249995869,15.209600000279
12.0,Hospet Town PS,PS - 12,169860351,Police Station - Karnataka,76.3884730002556,15.2739760001909
13.0,Chittavadagi PS,PS - 13,169860361,Police Station - Karnataka,76.3884730002258,15.1259780002526
14.0,Hospet Rural PS,PS - 14,169860356,Police Station - Karnataka,76.3873469999333,15.2748960003868
15.0,Kampli PS,PS - 15,164450357,Police Station - Karnataka,76.5991309997471,15.4061029998115
16.0,Kamalapur PS,PS - 16,169860360,Police Station - Karnataka,76.478884000259,15.3029210002127
17.0,Hagaribommanahalli PS,PS - 17,169861505,Police Station - Karnataka,76.209130999782,15.0535769998729
18.0,TB Halli PS,PS - 18,169861506,Police Station - Karnataka,76.1506500003324,15.1647319998623
19.0,Hadagali PS,PS - 19,169861507,Police Station - Karnataka,75.9357679997858,15.0184379998042
20.0,Hirehadagali PS,PS - 20,169861509,Police Station - Karnataka,75.8313969997665,14.9282249999518
21.0,Itagi PS,PS - 21,169861508,Police Station - Karnataka,76.0924009996279,14.9527650003999
22.0,Sandur PS,PS - 22,164450366,Police Station - Karnataka,76.5437170004188,15.0834649996859
23.0,Thoranagal PS,PS - 23,164450364,Police Station - Karnataka,76.6720560505915,15.1927131250549
24.0,Gadiganur PS,PS - 24,164450362,Police Station - Karnataka,76.5887689997062,15.2263190003763
25.0,Marriyammanahalli PS,PS - 25,169860365,Police Station - Karnataka,76.3513530002323,15.1520610002332
26.0,Kudligi PS,PS - 26,169861501,Police Station - Karnataka,76.3896460001752,14.9070309997856
27.0,Gudekota PS,PS - 27,169861502,Police Station - Karnataka,76.62823899992,14.8323320000539
28.0,Kottur PS,PS - 28,169861503,Police Station - Karnataka,76.2269109997217,14.8287199999405
29.0,Hosahalli PS,PS - 29,169861504,Police Station - Karnataka,76.4664640000314,14.6486680000664
30.0,Ballari Rural PS,PS - 30,164450338,Police Station - Karnataka,76.9250640002023,15.1444889998702
31.0,Gangavathi Rural PS,PS - 31,164681171,Police Station - Karnataka,76.5297200001054,15.4261110001564
32.0,Kanakagiri PS,PS - 32,164681173,Police Station - Karnataka,76.4237390000924,15.5723569997622
33.0,Karatagi PS,PS - 33,164681172,Police Station - Karnataka,76.6579839996317,15.6005919997517
34.0,Gangavathi Town PS,PS - 34,164681168,Police Station - Karnataka,76.5301870003278,15.4258829997704
35.0,Hanumasagar PS,PS - 35,164681177,Police Station - Karnataka,76.0476199999866,15.8727720001468
36.0,Kushtagi PS,PS - 36,164681176,Police Station - Karnataka,76.1935009996338,15.7548799996807
37.0,Tavaregera PS,PS - 37,164681178,Police Station - Karnataka,76.4043049999318,15.7700490003593
39.0,Alwandi PS,PS - 39,164681160,Police Station - Karnataka,75.990564999943,15.2316289997451
40.0,Koppal Rural PS,PS - 40,164681159,Police Station - Karnataka,76.1504849998026,15.348638999923
41.0,Munirabad PS,PS - 41,164681162,Police Station - Karnataka,76.3218519999859,15.2795749997392
42.0,Koppal Town PS,PS - 42,164681158,Police Station - Karnataka,76.1507120001416,15.3488340004166
43.0,Kuknoor PS,PS - 43,164681164,Police Station - Karnataka,75.9915140000343,15.4926200001522
44.0,Yelburga PS,PS - 44,164681163,Police Station - Karnataka,76.0122100001865,15.613321000093
45.0,Devadurga PS,PS - 45,164610992,Police Station - Karnataka,76.9287049998064,16.4150025003166
46.0,Gabbur PS,PS - 46,164610994,Police Station - Karnataka,77.1609118001156,16.2960855001534
47.0,Jalhalli PS,PS - 47,164610993,Police Station - Karnataka,76.7834533840468,16.3651088137999
48.0,Hutti PS,PS - 48,164610988,Police Station - Karnataka,76.6555622002157,16.1945603996517
49.0,Lingasugur PS,PS - 49,164610985,Police Station - Karnataka,76.5224648999924,16.1583934999438
50.0,Maski PS,PS - 50,164610989,Police Station - Karnataka,76.6540675001917,15.9537920995979
51.0,Mudgal PS,PS - 51,164610990,Police Station - Karnataka,76.4419758997177,16.0122467995676
52.0,Netajinagar PS,PS - 52,164610962,Police Station - Karnataka,77.3697941996058,16.2005672001816
53.0,Sadar Bazar PS,PS - 53,164610961,Police Station - Karnataka,77.356027800299,16.2026200999877
55.0,Raichur Rural PS,PS - 55,164610963,Police Station - Karnataka,77.3552738002094,16.219874700226
56.0,Shakti Nagar PS,PS - 56,164610965,Police Station - Karnataka,77.3533134002243,16.370844899622
57.0,Yapaladinni PS,PS - 57,164610966,Police Station - Karnataka,77.5251081003069,16.2962598997579
58.0,Market Yard PS,PS - 58,164610972,Police Station - Karnataka,77.3606764001082,16.2161506997865
59.0,Raichur West PS,PS - 59,164610971,Police Station - Karnataka,77.3428321998381,16.1951229000377
60.0,Idapanur PS,PS - 60,164610970,Police Station - Karnataka,77.4621637999182,16.0042257997102
61.0,Yeregera PS,PS - 61,164610967,Police Station - Karnataka,77.4142756004306,16.073025500058
62.0,Kowthal PS,PS - 62,164610984,Police Station - Karnataka,76.8144297999196,16.0872856002399
63.0,Manvi PS,PS - 63,164610981,Police Station - Karnataka,77.0479908002105,15.9938995995581
64.0,Sirwar PS,PS - 64,164610983,Police Station - Karnataka,77.0159706997364,16.175903599613
65.0,Balagaor PS,PS - 65,164610980,Police Station - Karnataka,76.749950399616,15.9553054000286
66.0,Sindanur Rural PS,PS - 66,164610976,Police Station - Karnataka,76.7695212001342,15.7866682997685
67.0,Sindhanur Town PS,PS - 67,164610975,Police Station - Karnataka,76.7561612004575,15.7681762000945
68.0,Turvihal PS,PS - 68,164610979,Police Station - Karnataka,76.5965000004169,15.7587392999127
69.0,Bagewadi PS,PS - 69,169821456,Police Station - Karnataka,74.6373274007038,15.7761522323095
70.0,Belagavi Rural PS,PS - 70,169820310,Police Station - Karnataka,74.5145610002729,15.8331710002305
71.0,Kakati PS,PS - 71,169820311,Police Station - Karnataka,74.5275059997213,15.9298600000182
72.0,Marihal PS,PS - 72,169821457,Police Station - Karnataka,74.6641959999116,15.881446000451
73.0,Belagavi Camp PS,PS - 73,169820303,Police Station - Karnataka,74.5045500000356,15.8547100001631
74.0,Khadebazar PS,PS - 74,169820301,Police Station - Karnataka,74.5107350003864,15.8623789997161
75.0,Thilakwadi PS,PS - 75,169820302,Police Station - Karnataka,74.5015349995826,15.8359440002916
76.0,Udyambag PS,PS - 76,169821455,Police Station - Karnataka,74.4914090001479,15.8206879996397
77.0,Belagavi City Women PS,PS - 77,169821453,Police Station - Karnataka,74.5058495227933,15.8577009658827
78.0,APMC Yard PS,PS - 78,169820298,Police Station - Karnataka,74.5085170002766,15.8839949997159
79.0,Malamaruthi PS,PS - 79,169820297,Police Station - Karnataka,74.5288709365525,15.8818603611202
80.0,Belagavi Market PS,PS - 80,169820292,Police Station - Karnataka,74.5196670000549,15.8624710003501
81.0,Shahapura PS,PS - 81,169820296,Police Station - Karnataka,74.5180130001751,15.8380890003073
84.0,Cubbon Park PS,PS - 84,164431398,Police Station - Karnataka,77.5979641429556,12.9800298427157
85.0,Vidhana Soudha PS,PS - 85,164431397,Police Station - Karnataka,77.5886142885905,12.9773209692159
86.0,Viveknagar PS,PS - 86,164431390,Police Station - Karnataka,77.6222989999259,12.951547000394
87.0,Halasurgate PS,PS - 87,164431386,Police Station - Karnataka,77.5867767998637,12.9679059997634
88.0,Sampangiramanagar PS,PS - 88,164431391,Police Station - Karnataka,77.5921599999535,12.9630649998591
89.0,Wilsongarden PS,PS - 89,164431388,Police Station - Karnataka,77.5961980000424,12.9500430001231
90.0,High Grounds PS,PS - 90,164431394,Police Station - Karnataka,77.5927664453475,12.9899573531302
91.0,Sadashivanagar PS,PS - 91,164431396,Police Station - Karnataka,77.5725447841245,13.0149094111584
92.0,Seshadripuram PS,PS - 92,164431393,Police Station - Karnataka,77.5735902002227,12.9879292996002
93.0,Vyalikaval PS,PS - 93,164431395,Police Station - Karnataka,77.5786416004447,13.0014925000938
94.0,Banaswadi PS,PS - 94,164431406,Police Station - Karnataka,77.6403087004,13.0196345004026
95.0,Devarajeevanahalli PS,PS - 95,164431402,Police Station - Karnataka,77.6103367001824,13.0093318996255
96.0,Hennur PS,PS - 96,164431408,Police Station - Karnataka,77.6457466922352,13.024142138905
97.0,Kadugondana Halli PS,PS - 97,164431407,Police Station - Karnataka,77.6274595998832,13.0250519004078
98.0,Ramamurthy Nagar PS,PS - 98,164431409,Police Station - Karnataka,77.6676147006279,13.0121958894059
99.0,Byappanahalli PS,PS - 99,164431411,Police Station - Karnataka,77.6568733672614,12.99146656405
100.0,Halasur PS,PS - 100,164431410,Police Station - Karnataka,77.6253330610102,12.9748128797954
101.0,Indiranagar PS,PS - 101,164431412,Police Station - Karnataka,77.638280000055,12.9829857001463
102.0,Jeevan Bheemanagar PS,PS - 102,164431413,Police Station - Karnataka,77.6553852996563,12.9676990004541
103.0,Bharathi Nagar PS,PS - 103,164431401,Police Station - Karnataka,77.6120856003067,12.9912025002823
104.0,Commercial Street PS,PS - 104,164431400,Police Station - Karnataka,77.6064306996423,12.9820757996245
105.0,Pulakeshinagar PS,PS - 105,164431399,Police Station - Karnataka,77.6196531704426,12.9992725573424
106.0,Shivajinagar PS,PS - 106,164431403,Police Station - Karnataka,77.6052475001124,12.9855097999292
461.0,Amengad PS,PS - 461,164701245,Police Station - Karnataka,75.9456940002023,16.0566130004213
462.0,Hungunda PS,PS - 462,164701241,Police Station - Karnataka,76.0603622998149,16.0666995998932
463.0,Ilakal PS,PS - 463,164701242,Police Station - Karnataka,76.1116999999779,15.9656960002354
465.0,Teradal PS,PS - 465,164701260,Police Station - Karnataka,75.0563049998242,16.4954680004363
466.0,Bilagi PS,PS - 466,164701263,Police Station - Karnataka,75.6122530000353,16.3493239999889
467.0,Jamakhandi Rural PS,PS - 467,164701251,Police Station - Karnataka,75.2804450001517,16.5094629996778
468.0,Jamakhandi Town PS,PS - 468,164701250,Police Station - Karnataka,75.2806300003701,16.5105400002348
469.0,Savalgi PS,PS - 469,164701254,Police Station - Karnataka,75.3465899995999,16.6725900002822
470.0,Lokapur PS,PS - 470,164701256,Police Station - Karnataka,75.3671666668059,16.1628055563863
158.0,Tilak Nagar PS,PS - 158,164431384,Police Station - Karnataka,77.5905730004444,12.9283629998263
159.0,Chamarajpet PS,PS - 159,164431364,Police Station - Karnataka,77.5670263999736,12.9605426996297
160.0,City Market PS,PS - 160,164431432,Police Station - Karnataka,77.5761266577661,12.964957672278
161.0,Cottonpet PS,PS - 161,164431417,Police Station - Karnataka,77.5700979326779,12.9680170243514
162.0,Kalasipalya PS,PS - 162,164431431,Police Station - Karnataka,77.5773576933696,12.9573704167974
163.0,Upparpet PS,PS - 163,164431430,Police Station - Karnataka,77.5748211347527,12.9744759561439
235.0,Kanakapura Rural PS,PS - 235,169771338,Police Station - Karnataka,77.4244669999111,12.5543489999296
236.0,Kanakapura Town PS,PS - 236,169771337,Police Station - Karnataka,77.4226379999284,12.5466869996491
237.0,Kodihalli PS,PS - 237,169771339,Police Station - Karnataka,77.494987999852,12.4356590001252
238.0,Kudur PS,PS - 238,169770276,Police Station - Karnataka,77.1652650001427,13.1070760002698
239.0,Kumbalagudu PS,PS - 239,169772003,Police Station - Karnataka,77.4441459996032,12.8751639997321
240.0,M.K. Doddi PS,PS - 240,169770285,Police Station - Karnataka,77.1183139998371,12.5960290001818
241.0,Magadi PS,PS - 241,169770275,Police Station - Karnataka,77.226469000388,12.955223999849
243.0,Ramanagara Rural PS,PS - 243,169771344,Police Station - Karnataka,77.2854290001578,12.7297119995962
244.0,Ramanagara Town PS,PS - 244,169771341,Police Station - Karnataka,77.2802889998055,12.718978000031
245.0,Ramanagara Women PS,PS - 245,169772208,Police Station - Karnataka,77.2851269495464,12.7297692562778
246.0,Sathanuru PS,PS - 246,169771340,Police Station - Karnataka,77.3207669998468,12.4524269996001
247.0,Tavarekere PS,PS - 247,169770277,Police Station - Karnataka,77.4007709999584,12.9662440004315
248.0,Chikkanayakanahalli PS,PS - 248,164641652,Police Station - Karnataka,76.6191166667985,13.4095833334318
249.0,Handanakere PS,PS - 249,164641801,Police Station - Karnataka,76.4472850003111,13.502821000084
107.0,Malleshwarm PS,PS - 107,164431357,Police Station - Karnataka,77.569587000137,12.9966449997394
108.0,Srirampura PS,PS - 108,164431358,Police Station - Karnataka,77.5650049998011,12.9899929995949
109.0,Subramanya Nagar PS,PS - 109,164431361,Police Station - Karnataka,77.5536799999682,13.0033419996475
110.0,Rajajinagar PS,PS - 110,164431360,Police Station - Karnataka,77.5542170001696,12.9946259998528
111.0,Rajgopal Nagar PS,PS - 111,164431362,Police Station - Karnataka,77.5135710004188,13.017349999738
113.0,Nandini Layout PS,PS - 113,164431363,Police Station - Karnataka,77.5367059999833,13.0123670002594
114.0,Yeshwanthapura PS,PS - 114,164430006,Police Station - Karnataka,77.5580990000111,13.018195000432
115.0,"RMC Yard PS, Yeshwanthpura",PS - 115,164431349,Police Station - Karnataka,77.5499230793907,13.023521263115
